username,message
nate.barger,"yo nate, respect. from prison to $250M is a wild ride, and creating 58+ millionaires along the way is next level. is your BRRRR course all digital or do you do live coaching too?"
ryann.talks,"yo ryan, love how you're helping creators not just grow but actually sell too - most just focus on vanity metrics. are you mainly coaching 1:1 or do you have a group program too?"
benfrancis,"yo ben, love how you’re thinking in decades, not just years - building something that lasts beyond trends is rare. do you oversee product innovation yourself, or is that a team effort?"
nathanazareth,"yo nathan, love how direct you are about getting people to take action - no fluff, just results. do you only do 1:1 or you got other offers too?"
james____edward,"yo james, wild mix of science and fashion you got going on—rare to see that blend. are you still actively modeling with nevs or focusing more on biosciences?"
itsjadenchue,"yo jaden, respect for building 7 figs purely off organic – no gimmicks, no courses, just real results. are you still scaling new stores or just managing existing ones?"
hormozi,"yo alex, love how you break down scaling like it’s a science, not just guesswork. are you still actively investing in new companies or just focused on skool?"
kingketo,"yo brandon, crazy how many trainers you’ve helped scale online. most people talk about freedom but you’re actually out here building it. are you still taking on new students?"
algosawyer,"yo sawyer, love how you bring faith into trading—rare to see someone dominate the markets while keeping it all for God’s glory. is your free class just a preview or do you have a full program too?"
thoran__p,"yo, respect for owning the grind, pushing thorn apparel while chasing that millionaire status. you handling drops yourself or got a team?"
danielg,"yo daniel, being named the #1 sales trainer in 2024 is no joke. 1.6M+ salespeople trained is insane haha. are your trainings mostly live or do you have digital programs too?"
dougdepte,"yo douglas, love how you’re showing 9-5ers there’s a way out beyond the cubicle. are you mainly helping them with rental properties or other types of real estate too?"
noeldeyzel_bodybuilder,"yo noel, respect for how you push both the body and the mind—most people focus on one and ignore the other. are you still taking on new clients or just focused on youngla and ryse?"
theschoolofhardknockz,"yo, love how you’re bringing real millionaire insights straight to people instead of the usual recycled advice. is your mentorship all online or do you do any in-person stuff too?"
bryson.bowman,"yo bmo, building an 8-figure sales team off conversion content is next level - most people can’t even get their content to drive leads, let alone scale a team off it. are you mainly helping personal brands or taking on other businesses too?"
levrone_klever,"yo voldemars, love how you're blending filmmaking with crypto and investing—rare to see someone with both creative and business brains like that. are you still taking on new projects or just focusing on your own investments?"
bxrryig,"yo adavia, love how you're showing people how to turn social media into real money moves instead of just chasing likes. are you mostly coaching 1:1 or doing group programs too?"
howetrey,"yo trey, love how you push the 1% better mindset—real growth comes from those daily wins. are you still taking on mentees for the 10k mentorship?"
autsyn,"yo austyn, love how you keep it simple – you just make things happen. are you taking on new clients for makhaimedia?"
jaredsection8,"yo jared, 70 properties at 22 is insane haha. not many people have the patience and vision to scale section 8 rentals like that. do you still actively pick up more or just managing what you got?"
